child	parent	OG	type	number
GNM425	node32	OG0000000	plus	1
GNM425	node32	OG0000001	plus	1
GNM425	node32	OG0000002	plus	1
GNM425	node32	OG0000003	plus	3
GNM425	node32	OG0000005	plus	1
GNM425	node32	OG0000007	minus	-1
GNM425	node32	OG0000010	plus	5
GNM425	node32	OG0000014	plus	2
GNM425	node32	OG0000016	plus	1
GNM425	node32	OG0000017	plus	1
GNM425	node32	OG0000019	add	5
GNM425	node32	OG0000020	plus	1
GNM425	node32	OG0000021	plus	5
GNM425	node32	OG0000025	plus	2
GNM425	node32	OG0000026	plus	3
GNM425	node32	OG0000027	plus	5
GNM425	node32	OG0000028	del	-1
GNM425	node32	OG0000030	plus	1
GNM425	node32	OG0000034	plus	2
GNM425	node32	OG0000041	plus	2
GNM425	node32	OG0000043	minus	-2
GNM425	node32	OG0000045	plus	1
GNM425	node32	OG0000047	minus	-2
GNM425	node32	OG0000049	minus	-1
GNM425	node32	OG0000050	plus	4
GNM425	node32	OG0000051	plus	3
GNM425	node32	OG0000053	minus	-2
GNM425	node32	OG0000055	plus	3
GNM425	node32	OG0000064	add	1
GNM425	node32	OG0000066	plus	2
GNM425	node32	OG0000068	minus	-1
GNM425	node32	OG0000070	plus	4
GNM425	node32	OG0000071	plus	1
GNM425	node32	OG0000075	plus	1
GNM425	node32	OG0000076	plus	1
GNM425	node32	OG0000079	plus	1
GNM425	node32	OG0000081	add	1
GNM425	node32	OG0000083	plus	1
GNM425	node32	OG0000086	plus	3
GNM425	node32	OG0000092	del	-1
GNM425	node32	OG0000096	minus	-1
GNM425	node32	OG0000099	plus	1
GNM425	node32	OG0000101	plus	1
GNM425	node32	OG0000107	minus	-1
GNM425	node32	OG0000109	plus	2
GNM425	node32	OG0000111	plus	2
GNM425	node32	OG0000114	del	-1
GNM425	node32	OG0000116	minus	-1
GNM425	node32	OG0000120	plus	1
GNM425	node32	OG0000121	plus	1
GNM425	node32	OG0000124	plus	2
GNM425	node32	OG0000125	plus	1
GNM425	node32	OG0000126	plus	1
GNM425	node32	OG0000127	del	-1
GNM425	node32	OG0000129	plus	1
GNM425	node32	OG0000130	add	1
GNM425	node32	OG0000136	minus	-1
GNM425	node32	OG0000142	minus	-1
GNM425	node32	OG0000146	plus	1
GNM425	node32	OG0000147	plus	1
GNM425	node32	OG0000157	plus	2
GNM425	node32	OG0000158	plus	1
GNM425	node32	OG0000161	plus	1
GNM425	node32	OG0000167	minus	-1
GNM425	node32	OG0000171	add	1
GNM425	node32	OG0000173	plus	1
GNM425	node32	OG0000174	plus	1
GNM425	node32	OG0000175	plus	1
GNM425	node32	OG0000183	plus	1
GNM425	node32	OG0000189	plus	1
GNM425	node32	OG0000192	minus	-1
GNM425	node32	OG0000197	minus	-1
GNM425	node32	OG0000198	del	-1
GNM425	node32	OG0000201	plus	2
GNM425	node32	OG0000204	plus	2
GNM425	node32	OG0000210	add	1
GNM425	node32	OG0000211	plus	1
GNM425	node32	OG0000219	plus	1
GNM425	node32	OG0000227	minus	-1
GNM425	node32	OG0000234	minus	-1
GNM425	node32	OG0000237	plus	4
GNM425	node32	OG0000238	plus	1
GNM425	node32	OG0000244	plus	1
GNM425	node32	OG0000251	plus	2
GNM425	node32	OG0000259	plus	2
GNM425	node32	OG0000266	add	1
GNM425	node32	OG0000267	add	3
GNM425	node32	OG0000271	plus	3
GNM425	node32	OG0000274	minus	-1
GNM425	node32	OG0000275	plus	1
GNM425	node32	OG0000282	plus	1
GNM425	node32	OG0000283	plus	2
GNM425	node32	OG0000289	plus	1
GNM425	node32	OG0000295	plus	1
GNM425	node32	OG0000296	add	2
GNM425	node32	OG0000302	plus	1
GNM425	node32	OG0000315	plus	1
GNM425	node32	OG0000323	plus	1
GNM425	node32	OG0000331	del	-1
GNM425	node32	OG0000336	add	1
GNM425	node32	OG0000341	plus	1
GNM425	node32	OG0000342	add	4
GNM425	node32	OG0000346	del	-1
GNM425	node32	OG0000352	del	-1
GNM425	node32	OG0000359	del	-1
GNM425	node32	OG0000360	plus	1
GNM425	node32	OG0000362	plus	1
GNM425	node32	OG0000376	add	1
GNM425	node32	OG0000378	del	-1
GNM425	node32	OG0000387	plus	1
GNM425	node32	OG0000398	del	-1
GNM425	node32	OG0000399	add	4
GNM425	node32	OG0000400	plus	1
GNM425	node32	OG0000401	plus	1
GNM425	node32	OG0000402	plus	2
GNM425	node32	OG0000404	plus	1
GNM425	node32	OG0000410	plus	1
GNM425	node32	OG0000418	plus	2
GNM425	node32	OG0000420	plus	1
GNM425	node32	OG0000421	add	4
GNM425	node32	OG0000422	del	-1
GNM425	node32	OG0000438	plus	1
GNM425	node32	OG0000439	add	1
GNM425	node32	OG0000445	del	-1
GNM425	node32	OG0000450	del	-1
GNM425	node32	OG0000456	plus	1
GNM425	node32	OG0000459	plus	1
GNM425	node32	OG0000467	plus	1
GNM425	node32	OG0000470	add	1
GNM425	node32	OG0000471	plus	1
GNM425	node32	OG0000478	plus	1
GNM425	node32	OG0000481	plus	2
GNM425	node32	OG0000488	plus	1
GNM425	node32	OG0000492	del	-1
GNM425	node32	OG0000504	minus	-1
GNM425	node32	OG0000505	plus	1
GNM425	node32	OG0000508	plus	1
GNM425	node32	OG0000509	plus	1
GNM425	node32	OG0000554	del	-1
GNM425	node32	OG0000581	del	-1
GNM425	node32	OG0000585	del	-1
GNM425	node32	OG0000587	plus	1
GNM425	node32	OG0000589	plus	2
GNM425	node32	OG0000597	del	-1
GNM425	node32	OG0000598	plus	1
GNM425	node32	OG0000637	plus	1
GNM425	node32	OG0000665	add	1
GNM425	node32	OG0000668	del	-1
GNM425	node32	OG0000766	plus	1
GNM425	node32	OG0000778	plus	1
GNM425	node32	OG0000787	add	2
GNM425	node32	OG0000791	add	1
GNM425	node32	OG0000989	plus	1
GNM425	node32	OG0001051	plus	1
GNM425	node32	OG0001147	plus	1
GNM425	node32	OG0001148	del	-1
GNM425	node32	OG0001152	minus	-1
GNM425	node32	OG0001206	del	-1
GNM425	node32	OG0001271	plus	1
GNM425	node32	OG0001281	minus	-1
GNM425	node32	OG0001282	plus	1
GNM425	node32	OG0001290	plus	1
GNM425	node32	OG0001344	plus	1
GNM425	node32	OG0001358	del	-1
GNM425	node32	OG0001366	del	-1
GNM425	node32	OG0001388	plus	1
GNM425	node32	OG0001414	plus	1
GNM425	node32	OG0001472	add	1
GNM425	node32	OG0001518	plus	2
