child	parent	OG	add	delete	plus	minus
GNM425	node32	2973	+413	-84	+149	-23
GNM742	node32	2890	+282	-36	+84	-18
node32	node34	2644	+410	-187	+55	-22
GNM1232	node34	2729	+452	-144	+123	-29
GNM1382	node28	2978	+354	-82	+120	-21
GNM1383	node28	2954	+283	-35	+163	-10
GNM746	node23	3167	+327	-68	+148	-33
GNM747	node23	3255	+384	-37	+160	-13
GNM225	node18	2485	+163	-108	+35	-33
GNM565	node18	2995	+599	-34	+163	-9
node18	node20	2430	+173	-213	+43	-35
GNM1107	node20	2684	+325	-111	+113	-22
node20	node24	2470	+96	-124	+16	-31
node23	node24	2908	+521	-111	+111	-23
GNM3434	node14	2298	+122	-34	+41	-5
GNM50571	node14	2274	+92	-28	+32	-10
GNM356	node8	2093	+53	-28	+23	-8
GNM4440	node8	2126	+67	-9	+40	-3
node8	node10	2068	+88	-122	+50	-35
GNM3890	node10	2143	+59	-18	+15	-1
GNM1670	node3	2200	+91	-14	+42	-10
GNM358	node3	2166	+67	-24	+25	-7
node3	node5	2123	+27	-45	+11	-13
GNM1683	node5	2208	+77	-10	+57	-7
node5	node11	2141	+72	-34	+17	-15
node10	node11	2102	+80	-81	+50	-10
node11	node15	2103	+29	-60	+6	-14
node14	node15	2210	+94	-18	+28	-4
node15	node25	2134	+172	-406	+28	-52
node24	node25	2498	+173	-43	+45	-10
node25	node29	2368	+82	-114	+25	-29
node28	node29	2706	+414	-108	+80	-17
node29	node35	2400	+128	-150	+24	-35
node34	node35	2421	+132	-133	+33	-27
node35	node37	2422	+79	-205	+9	-75
GNM694	node37	2955	+466	-59	+134	-12
node37	node37	2548
