aa_usage	GNM1001	GNM1017	GNM1024	GNM1025	GNM1026	GNM1031	GNM1055	GNM1059	GNM1066	GNM1080	GNM1089	GNM1097	GNM1107	GNM1120	GNM1121	GNM1122	GNM1123	GNM1125	GNM1126	GNM1130	GNM1146	GNM1148	GNM1154	GNM1170	GNM1176	GNM1177	GNM1179	GNM1186	GNM1187	GNM1213	GNM1232	GNM1234	GNM1283	GNM1304	GNM1306	GNM1310	GNM1311	GNM1362	GNM1363	GNM1367	GNM1382	GNM1383	GNM1419	GNM1427	GNM1431	GNM1546	GNM1670	GNM1683	GNM225	GNM3434	GNM356	GNM358	GNM3890	GNM425	GNM4360	GNM444	GNM4440	GNM4509	GNM4614	GNM4775	GNM4797	GNM483	GNM495	GNM4965	GNM50571	GNM565	GNM575	GNM576	GNM594	GNM653	GNM683	GNM684	GNM694	GNM717	GNM742	GNM746	GNM747	GNM756	GNM773	GNM774	GNM786	GNM791	GNM811	GNM833	GNM848	GNM855	GNM858	GNM859	GNM860	GNM875	GNM915	GNM926	GNM962	GNM973
S	6.46006656724925	5.7166701663117	5.75596630469827	5.75120023370796	5.52779928337723	6.10315129850594	6.7215295495983	5.1930613758486	4.64841275911528	4.87994795921273	4.7679504650019	4.84917544308749	4.67541373184797	5.39076257315569	5.55502175418518	5.12024687280416	5.07320039318749	5.36225087386841	5.72343330391454	5.7856093979442	5.05798778428308	5.1424184078338	4.95416490267062	5.01802668863764	5.39886921785487	5.53528015447751	5.06916278127424	4.97344745098374	5.56219546495393	5.21745305983615	5.25414017852581	5.49725022475507	4.57569552978996	5.32724233541161	4.69984540760074	6.15902815109806	5.616255511491	5.41186025737726	5.393951476681	4.62709335239813	5.01251761131303	5.05531929313295	4.78365235738952	5.62364331666737	4.94406733481389	5.245909218859	5.19529963508938	5.16756256535063	4.56905686647295	5.14896957166972	5.31919951854825	5.21759432200224	5.25399047435155	4.78340985494867	4.73620933205449	4.81251845290818	5.37959232695305	4.85364077895147	5.19538956505903	4.93684853585553	5.27597264986691	5.20253479939941	5.50150998589586	4.70146225196927	5.20564453048614	4.70048790226572	5.69618632510034	5.74862509991359	5.59931262698875	5.99473099246697	5.08418862264912	5.13221858214499	4.88674955815699	5.69096995689794	4.85701468412086	5.05991097907202	4.95901761275735	5.8636389090521	5.28496657115568	5.27043720199956	5.36996543057534	4.94055120365464	4.81427425274406	4.93413040504809	5.19736193698873	4.73679849353105	4.39733365938042	5.53437126522672	5.41346434751343	5.38675921327143	5.26838034172909	5.45764301137752	5.74120808181653	5.00051441730137
W	1.26350504511135	1.35682666472401	1.34777777015579	1.35438542338439	1.35426919650325	1.33735473875704	1.27287743968176	1.38790256970819	1.36616412704115	1.4314963674871	1.41329729556892	1.26807859625595	1.43344279480457	1.36808227119662	1.37813279127583	1.38550237514693	1.38566880109525	1.32711711787527	1.38396758213877	1.41746346676232	1.40419747983697	1.40917130173021	1.37619182642122	1.42770213571475	1.369677268567	1.36537129128932	1.42409902556552	1.44040822944133	1.35533686031824	1.33178960863963	1.36959806146952	1.39022272316885	1.53325498653162	1.38456120510493	1.50180751916148	1.21399506486167	1.41043365273296	1.42319484524671	1.39401814544175	1.41770199889435	1.42590477991145	1.42169736195591	1.42242088110864	1.3760620989342	1.39816961896791	1.3840595180949	1.31380995665863	1.31134234875813	1.39153556880793	1.33065634683395	1.30714692293376	1.29369229948236	1.32104009783098	1.51304103046952	1.43794963894636	1.33968113374668	1.32296613864643	1.45173904130218	1.41666919598142	1.42426706368374	1.31912357507919	1.42992256600904	1.38154945660646	1.44406283487955	1.31470237396848	1.42156866755961	1.37895715391081	1.42199208465708	1.42999726714274	1.21259210472152	1.42641816290819	1.42477295830446	1.40457971317514	1.43691376378357	1.47784249801917	1.41930303347588	1.42404498393431	1.27725599956891	1.39361986628462	1.39846146149613	1.35619210075037	1.42240329948875	1.32903586487086	1.38958477030306	1.34892736292257	1.37998209524614	1.45317375139815	1.40129270772169	1.44883873794917	1.42474508809857	1.38693550961001	1.36762987077305	1.36432780432891	1.31879953157766
D	5.51329546617825	6.2209404474689	5.97830933549188	6.10497750193379	6.28892891740164	5.60987931097504	5.64061081117072	5.62674558297321	5.49026617727563	5.43235671921207	5.67265634624843	5.71046910526193	6.32314878582499	6.17515147234926	6.15793260864459	6.31866797485938	6.58672973582949	6.32964557932369	5.76319956264385	5.50104060411085	5.96365145968622	5.96157709043291	5.9418717811163	5.9192523293992	6.18156743033415	5.95033597218749	6.26026730811667	6.12325199274486	5.92993316949267	6.32861712356993	5.98072417543117	6.47467120585647	6.17841262918136	6.62500186003601	5.8999317192271	6.17392129280631	6.26524127398576	5.63202619594962	5.70364069127812	6.11223569412635	6.3029220474981	6.16018027481744	6.42871024301069	5.73665783818493	5.87258681961005	6.15578760710551	5.91971966433493	5.89716315265002	5.94208709406661	5.94634333844598	5.8630063292429	5.97710656918726	5.93381927012937	6.52771441421328	6.31236025113403	6.14959447020615	5.83494124066913	6.32216829475499	6.08856648556773	6.23858871145436	5.91160372301926	5.88909760879115	6.09275020305935	5.86419408835973	5.98600844772967	6.0587266429984	5.7083215043169	6.06016923965251	6.08261249272228	5.95181739595768	6.37096007302063	5.78911220133705	5.95141507182742	5.61514026887988	6.52399422894044	6.44802881692859	6.26227240271332	5.90743446779151	5.65195797516714	5.60000307861632	6.33155798317803	5.96770324650217	6.45217732711972	6.53912348930748	6.09514110187588	6.24302372623599	6.80827072776427	6.30423958573019	6.21018168947617	5.57883188763611	5.92763420569441	6.13770230918059	5.72087104159541	6.33391432228547
*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027414928864787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M	2.55124654506016	3.01447995988978	3.03597275290341	2.94459173680662	2.67010064620544	2.7660908546455	2.86379715561121	2.72603809925454	2.55899032590452	2.56883937952753	2.65204842527571	2.22195037782595	2.79052857772011	2.84768792699215	2.8509975324142	2.83665724379337	2.95263657576227	2.95719058478991	2.79708739416868	2.76729700746918	2.84499294896948	2.82632142179743	2.80720825730805	2.81362848122519	2.81509089254715	2.78887663527646	2.8503273279125	2.7549039964881	2.80915165095141	2.94858892162607	2.84219880155608	2.96925887375187	2.49441678075415	2.43005024577276	2.69760780824631	2.75033484066889	2.54067418774786	2.74959648043413	2.74438107350808	2.71860439016888	2.80271763602485	2.91599600142322	2.96197979288886	2.77886757413142	2.9391356163766	2.84012331157113	2.8581591115678	2.86683270626888	2.91657395637586	2.85138868674655	2.89020482076655	2.83299535727627	2.87700328248697	2.54567838919573	2.56608377995791	2.69636788875574	2.89553867724274	2.6672583408769	2.75647251646584	2.78364153713351	2.87807594448074	2.76288872715828	2.78092487661674	2.77392879297076	2.81908756697563	2.73766927868522	2.86802157612598	2.98222327680944	2.81632822803912	2.83250319021941	2.79855007027262	2.75150023578244	2.65923961337506	2.44291382795538	2.72715174237877	2.85992348328089	2.84697429489468	2.51203717498043	2.76783190066858	2.80885256121636	2.86962518033263	2.76407366566899	2.93674570253154	2.83417363299836	2.897844870068	2.41779167120243	2.70619081905745	2.95211101987544	2.88896941504303	2.52854470601409	2.77685153965614	2.78247347116661	2.89854179313122	2.71166002463151
Q	3.62512069809843	3.52014295692865	3.31053595560342	3.34917109003085	3.64217103241142	3.92040166567163	3.06170586826958	3.55228407285054	3.023917540303	2.92864326729809	3.26211360735953	2.53676129117027	3.03211231081935	3.46809010965302	3.46437089373296	3.3147628253077	3.47900046816916	3.43725399141165	3.81610686146075	3.75177948907646	3.20114054629327	3.2012558940021	3.24839708722689	3.27649843449578	3.6094751622221	3.47623596357807	3.0495114922875	3.48496872573364	3.48982069352468	3.45917679852804	3.32382071512506	3.35579925586424	2.65030268519528	2.9888546642263	3.10625788849838	3.19723109973611	3.15147978914698	3.5812200578185	3.54690628103062	2.85338116159496	3.20026270813276	3.16040053540265	3.30047346401823	3.82009445706195	3.2455058833676	3.47823485496476	3.38365674689431	3.36275431007185	3.24306104779886	3.36352406862141	3.29041837667622	3.36490741234858	3.35999013108494	2.71870136509385	2.52909088468211	3.28816350868662	3.30402111732806	2.69830436407536	3.24027984338483	2.99741552946219	3.33465050071923	3.52722975143754	3.62680040365738	2.8292683763881	3.38471391137706	3.05669173953563	3.83338064939909	3.36317041310575	3.51937061109065	3.26750504260487	3.11138865739233	2.96358001112346	3.04453126006126	3.55297917624787	2.93144795602431	3.16815976461957	3.13675175532548	3.28107450739242	3.5396370582617	3.57019437613764	3.19027700906427	2.87559609904195	3.60078353049624	2.8637968476511	3.36870462235947	2.70553503856346	2.84770431151988	3.34027733421166	3.43420638666037	3.27670761606623	3.08452818051025	3.62002192301851	3.82675306827391	2.95358745548021
R	5.48441092411168	5.61950145056716	5.78649238220021	5.48993236800185	6.33071245997689	5.49497308701288	4.56011707355772	6.61150281111065	7.23756749393919	8.23217205835403	6.80269229937301	8.0523330667748	7.30603594789595	6.30087720864031	6.13850223876295	6.97122623638783	5.93567616869758	6.08728050009219	6.21865771792564	6.18772722347394	6.91483502227288	6.92869386043927	6.90436562513009	6.97351081274945	6.46667154329104	6.51429367945916	6.85627123630972	6.78486130192348	6.51169045826944	6.15359313135957	6.35268336118998	6.06790765969111	7.78298743624226	7.02944809011502	7.45760532530911	5.45241998251586	6.79629960341897	6.54158632744422	6.59841238603007	7.77070699093452	6.98705780988655	6.79385303536029	7.51071540690783	6.31740993794722	6.37428528305437	6.87379057974661	6.55706174498413	6.5771328054015	7.05538163961729	6.56956370842243	6.34323542637144	6.47913442552964	6.43021497071507	7.67756088564467	7.37709930951568	6.34671494815818	6.33284856776579	7.28358264358575	6.63664370048866	6.69015818756983	6.44707790979881	7.04691935980907	6.50125564892847	7.36943075731147	6.56458993312214	7.26526811714564	5.92296944495472	5.90905373022885	6.1096440156367	5.49901206108756	7.31973406473767	7.24965690232883	6.9600216357244	6.32434571492743	7.12657111103473	6.53472968687502	6.39972331310246	6.343963661837	6.5614517669532	6.30662248852253	6.17567800531698	7.76468229532143	6.42411788805244	6.7200079580389	6.46588258484181	7.49944352284968	8.00943725178533	6.23113133858122	6.46313681206319	7.15312712312092	6.97094054668954	6.49584981411657	5.85562961114141	7.34308002820217
I	5.80346891176658	6.2152624519513	5.75004973349705	5.97333303936105	5.44360972459432	6.03267048250304	7.89467346479081	4.80801313979125	4.74457792601212	4.6438758395549	4.74105380366754	4.4790139901698	4.94340221228432	5.39091779011408	5.49751355321679	5.22427086065481	5.70597484570002	5.5331610970386	5.15754562941918	5.16886930983847	5.06581720487864	5.24320348156438	5.15893244399133	4.98553440736762	5.07308692107183	5.08955841898335	4.79997057726629	5.17530560794007	5.14818325571508	5.31603838379874	5.22978082051806	5.5943405810853	4.50849497409305	4.89075388499521	4.76960411931104	6.24206251651252	5.048248639062	4.91676041363652	4.8736146199464	4.77132631981478	4.9630110597802	5.16095965842666	5.19828040943853	5.12488613702111	5.25200571577542	5.25937177459602	5.66112055224018	5.67925233065059	5.44651846238239	5.62950855155376	5.82048533705018	5.69267303484711	5.70157795370192	4.71554343289232	4.80310978984157	5.08012180366685	5.82345308000198	5.09652529196338	5.30048259325584	5.15459730734634	5.71181160072353	5.26383944084922	5.10009017401571	4.92264899003115	5.64086393679847	5.03260182085813	5.63261579911268	5.47052721172449	5.54287318354107	6.37621948709505	4.91923328338998	4.81543647125134	4.91553658641904	5.21000224601333	4.92946140009007	5.23933884372225	5.24418362489587	5.33508092933225	4.92416427889207	4.88191582293338	5.29347717601372	4.85158386916611	5.61786244686844	5.1286196093978	5.22438319261474	4.5471088371821	4.80840205228527	5.81572258267581	5.62210667655453	5.26997682900105	4.8717227470215	5.09231439721604	5.7218981648389	5.0210154597529
K	4.71437780649017	4.10261959144144	4.02283967978488	4.39295642412116	3.4472589762643	4.18058084815039	5.9901031476977	3.40871908848757	2.98404208235829	2.47111301634219	2.86929068989936	2.97511038015173	2.42697067595168	3.30340491680759	3.36387388907038	3.03604329988375	3.41455726305698	3.57174824939428	3.54937486278096	3.70006688263405	3.06612856090697	2.92262715891776	2.82126786217817	2.85373614091786	3.27147156898253	3.31618283118576	2.96608255657747	3.37214054030479	3.33725943584148	3.50178808547301	3.1970973133544	3.45739429802618	2.06560938869302	3.19936113963166	2.69339568264516	5.33694713036701	3.56599625588098	3.51448165434012	3.48735312839955	2.56044691437051	2.75188427574071	2.68870402060284	2.45957830308958	3.43462330529125	3.38820425468523	3.13357982955589	3.188554716832	3.21321527030118	2.59526395445924	3.14670308960565	3.35005644559826	3.20841560382091	3.32968612559267	2.26927843190547	2.11642618798656	2.77835669254416	3.40219267212006	2.31934040698974	2.71344887243148	2.64106793675262	3.32226130253509	2.9125441754034	3.22493307805161	2.36913475488854	3.17315401462709	2.32119727926779	3.69978234609754	3.92665471887737	3.50704304844287	4.72975754332524	2.71932957597567	2.65245916733337	2.74393408073549	3.85683269339779	2.53052324684676	2.5562821220697	2.62569915506367	3.88676338670158	3.469111747851	3.51370176674094	3.71553265041329	2.49967778430165	3.0427954456223	3.18738475289485	3.29807155294195	2.1836650803683	2.21961082657465	3.65502757720038	3.99489314366615	3.02349592876	2.7546218247367	3.16843745666572	3.82675306827391	2.71332431590064
V	7.19125495588467	7.03900032996653	7.10760270824616	7.06507260196704	7.12926832114971	6.6106694084204	6.3191954451246	6.9180225357438	7.10315970034968	7.20537075313751	7.48084553322631	8.16597912688111	7.20780634679483	7.28487511631571	7.32546296592853	7.17627896885918	7.35585146167634	7.23996820488418	6.93684943636599	6.71897710670956	7.00268840453706	7.28368128680142	7.25255684518176	7.19261612908139	7.12572948650929	7.14007518889467	7.48414979268587	7.31354194221869	7.09901514839294	7.34418612909164	7.40643087051405	7.34215868378831	7.58930121922162	6.70575222336304	7.32599487450822	6.40772321606174	6.8346337167771	6.87817441827538	6.83457365006978	7.08965305112996	7.29794568542525	7.13280018976296	7.06458715517959	6.94431811856954	7.32652249165469	7.23442389100497	6.81987643098974	6.83123285050878	7.08545281909046	6.82643996870215	6.98458240446022	6.8018570894925	6.88879770869537	7.43117099102772	7.48442345528558	6.84964715144989	6.97670775424736	7.32188398742299	7.18722493702006	7.31825970342963	6.90300040297497	7.00864493794134	7.03879421901769	7.40134754030566	6.79154933708788	7.42400204226741	6.97416542809906	7.37323830170786	7.19640035170685	6.99193183221504	7.2281587674549	7.294449345346	7.37061556514618	7.14585182729227	7.46024905100971	7.31692068037962	7.41096929667976	7.27201743792283	6.901852913085	6.99192248044116	7.33624889985755	7.11121095819788	7.3986232737577	7.51771358520624	7.18683268175696	7.52413973506813	7.39662722402605	7.30997819835114	7.1319018404908	6.81596951018033	7.2031106698285	7.07174175740727	6.90452786739428	7.33067349328685
