sample	total_reads	GNM1017	GNM1017	GNM1024	GNM1024	GNM1025	GNM1025	GNM1026	GNM1026	GNM1031	GNM1031	GNM1055	GNM1055	GNM1059	GNM1059	GNM1066	GNM1066	GNM1080	GNM1080	GNM1089	GNM1089	GNM1107	GNM1107	GNM1120	GNM1120	GNM1121	GNM1121	GNM1122	GNM1122	GNM1123	GNM1123	GNM1125	GNM1125	GNM1126	GNM1126	GNM1130	GNM1130	GNM1146	GNM1146	GNM1148	GNM1148	GNM1154	GNM1154	GNM1170	GNM1170	GNM1176	GNM1176	GNM1177	GNM1177	GNM1179	GNM1179	GNM1186	GNM1186	GNM1187	GNM1187	GNM1213	GNM1213	GNM1232	GNM1232	GNM1283	GNM1283	GNM1306	GNM1306	GNM1362	GNM1362	GNM1363	GNM1363	GNM1367	GNM1367	GNM1382	GNM1382	GNM1383	GNM1383	GNM1419	GNM1419	GNM1427	GNM1427	GNM1431	GNM1431	GNM1546	GNM1546	GNM1670	GNM1670	GNM1683	GNM1683	GNM225	GNM225	GNM3434	GNM3434	GNM356	GNM356	GNM358	GNM358	GNM3890	GNM3890	GNM425	GNM425	GNM444	GNM444	GNM4440	GNM4440	GNM483	GNM483	GNM495	GNM495	GNM50571	GNM50571	GNM565	GNM565	GNM575	GNM575	GNM576	GNM576	GNM594	GNM594	GNM683	GNM683	GNM684	GNM684	GNM694	GNM694	GNM742	GNM742	GNM746	GNM746	GNM747	GNM747	GNM773	GNM773	GNM774	GNM774	GNM786	GNM786	GNM791	GNM791	GNM811	GNM811	GNM833	GNM833	GNM848	GNM848	GNM855	GNM855	GNM858	GNM858	GNM859	GNM859	GNM860	GNM860	GNM875	GNM875	GNM915	GNM915	GNM926	GNM926	GNM962	GNM962	GNM973	GNM973
ERR315856	148457130	10150	0.00683699058441989	1636	0.00110200163508482	1021	0.000687740629230809	313	0.000210835276150091	726920	0.489649772968129	25594	0.0172399937948416	156	0.000105080840509311	592	0.000398768317830205	387	0.000260681315878867	1151	0.000775307996321901	260	0.000175134734182184	346	0.000233063915488599	635	0.000427732908483412	1048	0.000705927697780497	206	0.000138760597082808	390	0.000262702101273277	3226	0.00217301789412203	279	0.000187933041680113	713	0.000480273328738067	1212	0.000816397299341568	1241	0.000835931558154196	868	0.000584680574115908	317	0.000213529656675971	363	0.000244515032723588	318	0.000214203251807441	344	0.000231716725225659	7461	0.00502569327589722	32070	0.021602195866241	487	0.000328040829025861	381	0.000256639745090047	1137	0.000765877664481322	225	0.000151558904580737	286	0.000192648207600403	230	0.000154926880238086	428	0.000288298716269134	535	0.000360373395336418	1042	0.000701886126991678	2019	0.00135998857043781	1867	0.00125760211045438	676	0.00045535030887368	13	8.75673670910922e-06	21	1.41454977608687e-05	1179	0.00079416866000306	46	3.09853760476172e-05	87	5.86027764378848e-05	113	7.61162498561032e-05	60	4.04157078881964e-05	773	0.000520689036626264	291	0.000196016183257753	2310	0.00155600475369556	723	0.000487009280052767	443	0.000298402643241183	798	0.000537528914913012	1364	0.000918783759324998	3088	0.00208006176597918	540	0.000363741370993768	1230	0.000828522011708027	1044	0.000703233317254617	740	0.000498460397287756	1352	0.000910700617747359	367	0.000247209413249468	879	0.000592090120562077	2110	0.00142128572740157	318	0.000214203251807441	1669	0.00112423027442333	645	0.000434468859798111	690	0.000464780640714259	1238	0.000833910772759786	914	0.000615665950163525	2029	0.00136672452175251	2070	0.00139434192214278	2215	0.00149201321620592	289	0.000194668992994813	7950	0.00535508129518602	3073	0.00206995783900713	1513	0.00101914943391402	1547	0.001042051668384	13768	0.00927405777007814	11243	0.00757323006311654
ERR315857	167250022	3364	0.00201135997458942	885	0.00052914791245887	953	0.000569805605167574	467	0.000279222683749483	360901	0.215785322886236	3251	0.00194379645582349	202	0.00012077726363468	668	0.000399402040138446	512	0.000306128509806713	1017	0.000608071668893413	333	0.000199103112823507	539	0.000322272005441052	927	0.000554260016778951	1135	0.000678624723887929	237	0.000141704017234748	732	0.000437668103864285	10992	0.00657219644491287	383	0.000228998475109319	777	0.000464573929921516	1088	0.000650523083339266	1029	0.000615246555842008	785	0.000469357187887246	367	0.000219431959177859	611	0.000365321327132621	405	0.000242152434515076	445	0.000266068724343725	19342	0.0115647219466435	45867	0.0274242116392666	820	0.000490283941487314	611	0.000365321327132621	1263	0.000755156851339607	372	0.00022242149540644	533	0.000318684561966754	256	0.000153064254903357	709	0.000423916237212812	783	0.000468161373395813	1434	0.000857398990357083	3726	0.0022278023975387	1885	0.00112705515817511	943	0.000563826532710411	16	9.56651593145979e-06	43	2.57100115657982e-05	1060	0.000633781680459211	69	4.12555999544203e-05	184	0.000110014933211788	198	0.000118385634651815	144	8.60986433831381e-05	1119	0.000669058207956469	417	0.000249327321463671	5153	0.00308101603717577	813	0.0004860985907673	815	0.000487294405258733	753	0.000450224156024326	1335	0.000798206173031176	1034	0.000618236092070589	612	0.000365919234378337	1105	0.000660687506516442	1101	0.000658295877533577	703	0.000420328793738514	1912	0.00114319865380944	397	0.000237369176549346	893	0.000533931170424599	2416	0.00144454390565043	479	0.000286397570698077	1398	0.000835874329511299	759	0.000453811599498624	743	0.000444245083567164	1247	0.000745590335408147	1402	0.000838265958494164	2137	0.0012777277840956	1859	0.00111150956978648	2205	0.0013183854768043	336	0.000200896834560656	7519	0.00449566458054038	3653	0.00218415516860141	1463	0.000874738300482854	2379	0.00142242133755893	6479	0.0038738410449955	14699	0.00878863860478296
ERR315858	65004184	3084	0.00474430999703034	322	0.000495352729910432	491	0.000755335994987646	124	0.000190756951890974	253233	0.389564154824249	873	0.00134299047581306	68	0.000104608651036986	432	0.000664572606587908	284	0.00043689495433094	511	0.000786103245292642	154	0.000236907827348467	188	0.00028921215286696	248	0.000381513903781947	738	0.00113531153625434	70	0.000107685376067485	186	0.000286135427836461	827	0.00127222580011157	91	0.000139990988887731	169	0.000259983265077214	355	0.000546118692913675	141	0.00021690911465022	294	0.000452278579483438	82	0.000126145726250483	91	0.000139990988887731	86	0.000132299176311482	129	0.000198448764467223	254	0.000390744078873446	606	0.000932247684241371	520	0.00079994850792989	274	0.000421511329178442	700	0.00107685376067485	90	0.000138452626372481	121	0.000186141864345224	110	0.000169219876677477	197	0.000303057415504208	360	0.000553810505489924	739	0.00113684989876959	138	0.000212294027104471	838	0.00128914778777932	189	0.00029075051538221	16	2.46138002439966e-05	12	1.84603501829975e-05	610	0.00093840113430237	19	2.9228887789746e-05	3180	0.00489199279849432	123	0.000189218589375724	85	0.000130760813796232	377	0.00057996266824917	91	0.000139990988887731	18456	0.0283920185814501	577	0.000887635171299127	55	8.46099383387383e-05	354	0.000544580330398425	769	0.00118300077422709	551	0.000847637745902633	315	0.000484584192303683	620	0.000953784759454868	367	0.000564579043096672	162	0.000249214727470466	767	0.00117992404919659	109	0.000167681514162227	515	0.000792256695353641	1023	0.00157374485310053	180	0.000276905252744962	547	0.000841484295841634	354	0.000544580330398425	402	0.000618421731130415	621	0.000955323121970118	565	0.00086917482111613	689	0.0010599317730071	1019	0.00156759140303953	1270	0.00195372039436723	150	0.000230754377287468	4666	0.00717799949615551	2030	0.00312287590595707	426	0.00065534243149641	691	0.0010630084980376	2991	0.00460124228311211	4691	0.00721645855903675
ERR315859	65573140	815	0.00124288695035803	288	0.000439204222948604	350	0.000533755132055595	87	0.000132676275682391	244012	0.372121877951857	651	0.000992784545623406	54	8.23507918028632e-05	333	0.000507829882784323	207	0.000315678035244309	422	0.000643556187792746	119	0.000181476744898902	147	0.00022417715546335	194	0.000295852844625101	555	0.000846383137973872	68	0.000103700997085087	150	0.000228752199452398	526	0.000802157712746408	76	0.000115901114389215	147	0.00022417715546335	269	0.0004102289443513	136	0.000207401994170174	220	0.000335503225863517	62	9.45509091069911e-05	85	0.000129626246356359	65	9.9125953096039e-05	113	0.000172326656920806	1860	0.00283652727320973	5371	0.00819085375505885	286	0.000436154193622572	168	0.000256202463386685	531	0.000809782786061488	69	0.000105226011748103	109	0.000166226598268742	81	0.000123526187704295	197	0.000300427888614149	260	0.000396503812384156	575	0.000876883431234191	235	0.000358378445808756	666	0.00101565976556865	173	0.000263827536701765	7	1.06751026411119e-05	8	1.22001173041279e-05	426	0.00064965624644481	21	3.20253079233357e-05	167	0.000254677448723669	66	0.000100650967759055	29	4.42254252274636e-05	290	0.000442254252274636	81	0.000123526187704295	5532	0.00843638111580443	420	0.000640506158466714	98	0.000149451436975567	225	0.000343128299178597	517	0.000788432580779264	507	0.000773182434149104	161	0.000245527360745574	420	0.000640506158466714	336	0.000512404926773371	204	0.000311102991255261	623	0.000950084135058959	76	0.000115901114389215	399	0.000608480850543378	651	0.000992784545623406	148	0.000225702170126366	435	0.000663381378411953	266	0.000405653900362252	313	0.000477329589524003	383	0.000584080615935122	451	0.000687781613020209	1084	0.00165311589470933	843	0.00128558736092248	941	0.00143503879789804	164	0.000250102404734622	2968	0.00452624351983144	1586	0.00241867325554335	351	0.000535280146718611	542	0.000826557947354664	2240	0.00341603284515581	3377	0.00514997451700498
ERR315860	64614394	809	0.00125204300453549	333	0.00051536504389409	349	0.000540127328285397	74	0.000114525565309798	241860	0.374312881430104	647	0.0010013248750735	46	7.11915676250094e-05	313	0.000484412188404955	225	0.000348219624252763	427	0.000660843464693022	107	0.00016559777686687	139	0.000215122345649485	230	0.000355957838125047	540	0.000835727098206632	47	7.27392103994661e-05	133	0.000205836489002745	513	0.0007939407432963	66	0.000102144423114144	179	0.000277028056627754	271	0.000419411191877773	123	0.000190360061258177	223	0.00034512433870385	53	8.20250670462065e-05	87	0.000134644921377735	80	0.000123811421956538	90	0.000139287849701105	1880	0.00290956841597864	5448	0.00843155783524024	293	0.000453459332915821	185	0.000286313913274494	552	0.000854298811500112	67	0.000103692065888601	91	0.000140835492475562	88	0.000136192564152192	213	0.000329647910959283	273	0.000422506477426686	548	0.000848108240402286	209	0.000323457339861456	639	0.000988943732877848	151	0.000233694058942966	4	6.1905710978269e-06	8	1.23811421956538e-05	371	0.000574175469323445	18	2.78575699402211e-05	176	0.000272385128304384	62	9.5953852016317e-05	34	5.26198543315287e-05	281	0.00043488761962234	78	0.000120716136407625	5686	0.00879989681556094	531	0.000821798313236521	80	0.000123811421956538	256	0.000396196550260922	541	0.000837274740981088	486	0.000752154388385969	186	0.000287861556048951	416	0.000643819394173998	327	0.000506079187247349	214	0.000331195553733739	624	0.000965729091260997	81	0.000125359064730995	392	0.000606675967587036	703	0.00108799287044308	139	0.000215122345649485	467	0.000722749175671291	254	0.000393101264712008	316	0.000489055116728325	371	0.000574175469323445	436	0.000674772249663132	1036	0.00160335791433717	740	0.00114525565309798	900	0.00139287849701105	160	0.000247622843913076	2874	0.00444792533378863	1570	0.00242979915589706	395	0.000611318895910407	500	0.000773821387228363	2174	0.00336457539166892	3197	0.00494781394993815
ERR315861	64695398	3176	0.00490915907187092	339	0.000523993994132318	513	0.00079294666368696	117	0.000180847484700535	252825	0.390792865977886	982	0.00151788230748654	59	9.11965948489876e-05	434	0.000670835968889163	293	0.000452891564250057	559	0.000864049093569221	145	0.000224127224628868	205	0.000316869524475296	284	0.000438980219273093	776	0.0011994670780138	55	8.50137748592257e-05	162	0.000250404209585356	813	0.0012566581629191	92	0.000142204859764523	167	0.000258132734572558	328	0.000506991239160473	151	0.000233401454613511	272	0.000420431759303807	83	0.000128293514787559	74	0.000114382169810595	113	0.000174664664710773	131	0.000202487354664701	245	0.000378697724372914	581	0.000898054603512911	529	0.000817677943646007	236	0.00036478637939595	677	0.0010464422832672	77	0.000119019284802916	105	0.000162299024731249	108	0.00016693613972357	198	0.000306049589493213	347	0.000536359634111842	716	0.00110672477816737	112	0.000173118959713332	809	0.00125047534292934	176	0.000272044079549522	11	1.70027549718451e-05	16	2.47312799590475e-05	569	0.000879506143543626	22	3.40055099436903e-05	3359	0.00519202308640253	139	0.000214852994644225	79	0.000122110694797797	409	0.000632193343953151	90	0.000139113449769642	18554	0.0286790105225104	612	0.000945971458433566	47	7.2648134879702e-05	333	0.000514719764147676	799	0.00123501829295493	547	0.000845500633599936	324	0.000500808419170711	618	0.000955245688418209	372	0.000575002259047854	189	0.000292138244516248	767	0.00118555573303684	109	0.000168481844721011	519	0.000802220893671602	981	0.0015163366024891	172	0.00026586125955976	486	0.000751212628756067	350	0.000540996749104163	429	0.00066310744390196	592	0.000915057358484757	548	0.000847046338597376	689	0.00106499074323648	1036	0.00160135037734832	1347	0.00208206463155231	192	0.00029677535950857	4749	0.00734055303284478	2079	0.00321352068967873	435	0.000672381673886603	653	0.00100934536332863	3007	0.00464793492730348	4427	0.00684283602366895
ERR315862	275065284	929	0.00033773800404416	668	0.000242851438860602	622	0.000226128136184572	742	0.000269754143165518	209069	0.0760070471124957	2222	0.000807808229263857	25	9.08875145436383e-06	265	9.63407654162566e-05	523	0.000190136680425291	705	0.00025630279101306	380	0.00013814902210633	260	9.45230151253838e-05	1289	0.000468616024986999	1081	0.000392997612886692	85	3.0901754944837e-05	995	0.00036173230788368	699	0.000254121490664013	132	4.7988607679041e-05	119	4.32624569227718e-05	205	7.45277619257834e-05	113	4.10811565737245e-05	138	5.01699080280883e-05	38	1.3814902210633e-05	50	1.81775029087277e-05	179	6.5075460413245e-05	94	3.4173705468408e-05	360	0.000130878020942839	129	4.68979575045174e-05	270	9.81585157071294e-05	128	4.65344074463428e-05	1271	0.000462072123939857	58	2.10859033741241e-05	126	4.58073073299937e-05	77	2.79933544794406e-05	266	9.67043154744312e-05	280	0.000101794016288875	475	0.000172686277632913	106	3.85363061665026e-05	913	0.000331921203113367	182	6.61661105877687e-05	2	7.27100116349106e-07	7	2.54485040722187e-06	533	0.000193772181007037	14	5.08970081444374e-06	64650	0.0235035112609849	178990	0.0650718249126633	41	1.49055523851567e-05	1040	0.000378092060501535	103	3.7445655991979e-05	737	0.000267936392874646	597	0.000217039384730208	32	1.16336018615857e-05	297	0.000107974367277842	563	0.000204678682752273	434	0.000157780725247756	323	0.000117426668790381	650	0.00023630753781346	290333	0.105550579039993	874	0.000317742750844559	701	0.000254848590780362	90	3.27195052357098e-05	374	0.000135967721757283	879	0.000319560501135432	133	4.83521577372156e-05	363	0.000131968671117363	326	0.000118517318964904	553	0.000201043182170528	557	0.000202497382403226	770	0.000279933544794406	647	0.000235216887638936	1020	0.000370821059338044	1107	0.00040244991439923	70	2.54485040722187e-05	4322	0.00157126335143042	1938	0.000704560012742284	351	0.000127606070419268	659	0.000239579488337031	2324	0.000844890335197662	4669	0.00169741522161699
ERR315863	127100912	699	0.000549956714708703	594	0.000467345191040014	897	0.000705738445055375	299	0.000235246148351792	182389	0.143499363718177	1684	0.0013249314843626	119	9.36263934911812e-05	656	0.000516125328825335	484	0.000380799785291863	861	0.000677414494083252	258	0.000202988315300208	396	0.000311563460693343	500	0.00039338820794614	931	0.000732488843195712	155	0.000121950344463303	379	0.000298188261623174	1631	0.00128323233432031	168	0.000132178437869903	258	0.000202988315300208	683	0.000537368292054427	263	0.000206922197379669	441	0.000346968399408495	137	0.000107788368977242	219	0.000172304035080409	268	0.000210856079459131	238	0.000187252786982362	2370	0.0018646601056647	1283	0.00100943414158979	797	0.000627060803466147	413	0.000324938659763511	1227	0.000965374662299827	186	0.000146340413355964	233	0.000183318904902901	204	0.000160502388842025	357	0.000280879180473544	629	0.000494882365596244	1180	0.00092839617075289	229	0.000180171799239332	1603	0.00126120259467532	343	0.000269864310651052	10	7.86776415892279e-06	18	1.4161975486061e-05	1104	0.000868601163145076	34	2.67503981403375e-05	111	8.7332182164043e-05	198	0.000155781730346671	69	5.42875726965673e-05	875	0.000688429363905744	177	0.000139259425612933	2480	0.00195120551141285	692	0.000544449279797457	165	0.000129818108622226	490	0.000385520443787217	1230	0.000967734991547504	467	0.000367424586221694	423	0.000332806423922434	877	0.000690002916737529	616	0.000484654272189644	735	0.000578280665680825	1308	0.0010291035519871	239	0.000188039563398255	775	0.000609751722316516	1965	0.00154601565722833	318	0.000250194900253745	962	0.000756878912088373	519	0.000408336959848093	652	0.000512978223161766	1121	0.000881976362215245	702	0.00055231704395638	1021	0.000803298720626017	1792	0.00140990333727896	2114	0.00166324534319628	205	0.000161289165257917	8557	0.00673244579079023	3109	0.0024460878770091	1079	0.000848931752747769	1400	0.00110148698224919	4446	0.00349800794505707	11716	0.00921787248859395
ERR318618	139910190	371	0.000265170106623399	583	0.00041669588183677	813	0.000581087053058823	308	0.00022014122059301	95193	0.068038646791917	1569	0.00112143368542348	57	4.0740420694161e-05	466	0.000333070807780334	352	0.000251589966392012	721	0.000515330584570002	231	0.000165105915444758	306	0.000218711732147601	578	0.000413122160723247	680	0.000486026071439114	102	7.29039107158671e-05	429	0.000306625271540264	801	0.000572510122386368	85	6.07532589298892e-05	145	0.000103637912292164	412	0.000294474619754287	157	0.000112214842964619	263	0.000187977730571304	61	4.35993975849793e-05	111	7.93366087202083e-05	156	0.000111500098741914	163	0.000116503308300846	156	0.000111500098741914	2459	0.00175755604363056	393	0.0002808944795229	376	0.000268743827736922	837	0.000598240914403733	77	5.50353051482526e-05	150	0.000107211633405687	94	6.71859569342305e-05	228	0.000162961682776644	357	0.000255163687505535	885	0.000632548637093553	172	0.000122936006305188	1166	0.00083339176367354	183	0.000130798192754938	6	4.28846533622748e-06	10	7.14744222704579e-06	705	0.000503894677006728	19	1.3580140231387e-05	75	5.36058167028434e-05	103	7.36186549385717e-05	21	1.50096286767962e-05	683	0.000488170304107228	118	8.43398182791403e-05	1630	0.00116503308300846	610	0.000435993975849793	82	5.86090262617755e-05	360	0.000257307920173649	760	0.00054320560925548	318	0.000227288662820056	272	0.000194410428575646	652	0.000466013233203386	350	0.000250160477946603	217	0.000155099496326894	927	0.000662567894447145	203	0.00014509307720903	772	0.000551782539927935	1498	0.00107068684561146	163	0.000116503308300846	671	0.000479593373434773	370	0.000264455362400694	621	0.000443856162299544	570	0.00040740420694161	690	0.00049317351366616	890	0.000636122358207076	1153	0.00082410008877838	1461	0.00104424130937139	161	0.000115073819855437	4625	0.00330569203000868	2052	0.0014666551449898	632	0.000451718348749294	1025	0.000732612828272194	3133	0.00223929364973345	6965	0.00497819351113739
ERR318619	5886614	31	0.000526618528070636	33	0.000560593916978419	54	0.00091733550051014	17	0.000288790805716155	9219	0.156609555170426	148	0.00251417877917594	6	0.000101926166723349	41	0.000696495472609551	28	0.000475655444708962	65	0.00110420013950295	15	0.000254815416808372	9	0.000152889250085023	31	0.000526618528070636	59	0.0010022739727796	6	0.000101926166723349	18	0.000305778500170047	58	0.000985286278325706	12	0.000203852333446698	22	0.000373729277985613	31	0.000526618528070636	12	0.000203852333446698	19	0.000322766194623938	9	0.000152889250085023	14	0.000237827722354481	16	0.000271803111262264	11	0.000186864638992806	19	0.000322766194623938	255	0.00433186208574233	37	0.000628544694793985	31	0.000526618528070636	79	0.00134202786185743	13	0.000220840027900589	17	0.000288790805716155	13	0.000220840027900589	23	0.000390716972439504	32	0.000543606222524528	65	0.00110420013950295	13	0.000220840027900589	106	0.0018006956121125	25	0.000424692361347287		0		0	67	0.00113817552841073	3	5.09630833616745e-05	5	8.49384722694574e-05	9	0.000152889250085023	1	1.69876944538915e-05	60	0.00101926166723349	5	8.49384722694574e-05	60	0.00101926166723349	58	0.000985286278325706	6	0.000101926166723349	43	0.000730470861517334	61	0.00103624936168738	45	0.000764446250425117	20	0.00033975388907783	73	0.00124010169513408	45	0.000764446250425117	29	0.000492643139162853	67	0.00113817552841073	13	0.000220840027900589	56	0.000951310889417923	113	0.00191960947328974	14	0.000237827722354481	56	0.000951310889417923	22	0.000373729277985613	51	0.000866372417148466	38	0.000645532389247877	66	0.00112118783395684	78	0.00132504016740354	108	0.00183467100102028	156	0.00265008033480707	15	0.000254815416808372	372	0.00631942233684763	226	0.00383921894657948	38	0.000645532389247877	95	0.00161383097311969	363	0.00616653308676261	813	0.0138109955910138
