OG	CHUG	PRC	expression	abbrev
OG0000106	0.06721375	13.37127731	PRC	NA
OG0005477	NA	10.48785714	PRC	NA
OG0001849	8.26225	41.90232143	both	NA
OG0000504	2.364790816	7.861763849	CHUG	smoE, mtlE
OG0002361	0.7400625	2.058063492	CHUG	ABC.MS.S
OG0007003	0.71175	NA	CHUG	ABC.MS.S
OG0003237	0.294991736	24.46687171	PRC	ABC.MS.S
OG0012762	NA	153.5701429	PRC	rbsB
OG0002432	0.156890306	89.48807145	PRC	ABC.SS.S
OG0002735	0.19225	10.37792857	PRC	rhaS
OG0004309	NA	10.28342857	PRC	ABC.MS.S
OG0000346	0.650357422	3.908115079	CHUG	ABC.SP.S
OG0000346	0.650357422	3.908115079	CHUG	ABC.SP.S
OG0002292	NA	17.57507143	PRC	afuA
OG0003126	NA	13.60228571	PRC	afuB
OG0000501	1.346447266	34.77455686	both	aapJ
OG0000501	1.346447266	34.77455686	both	aapJ
OG0003096	2.35225	2.506031746	CHUG	ABC.SP.S
OG0003096	2.35225	2.506031746	CHUG	ABC.SP.S
OG0005005	NA	35.74914286	PRC	ABC.PA.S
OG0002240	NA	16.63152778	PRC	ABC.PA.S
OG0002728	NA	29.82571429	PRC	NA
OG0003714	NA	16.29057143	PRC	potD
OG0002074	0.895763672	NA	CHUG	actP
OG0001304	0.737875	5.489444445	CHUG	NA
OG0002798	1.97	NA	CHUG	NA
OG0002465	NA	17.08385714	PRC	NA
OG0000458	1.758583985	53.44162203	both	NA
OG0001114	1.428201173	51.32256851	both	NA
OG0001116	1.312076173	45.67676384	both	NA
OG0001353	0.364314453	44.63586112	both	NA
OG0001129	0.690226563	41.36730904	both	NA
OG0001135	1.043292969	41.14188921	both	NA
OG0001121	1.289978516	35.07474927	both	NA
OG0001126	0.508470703	29.62225073	both	NA
OG0001125	0.359695313	26.46300583	both	NA
OG0001119	2.815507813	22.2939067	both	NA
OG0000956	0.341484375	19.78607289	both	NA
OG0001120	0.346396484	17.36963849	both	NA
OG0001112	0.781619141	17.29470263	both	NA
OG0001032	0.455669922	16.76160933	both	NA
OG0001329	0.454166016	16.55872594	both	NA
OG0001265	0.524302734	15.0458105	both	NA
OG0000677	1.336554688	15.00867056	both	NA
OG0001048	0.368787109	14.53683381	both	NA
OG0001582	0.641376953	11.69498286	both	NA
OG0001110	0.672232422	79.42314577	both	NA
OG0000781	0.983376953	77.23393294	both	NA
OG0001270	0.554861328	64.57025656	both	NA
OG0001124	0.596599609	57.42242566	both	NA
OG0000942	0.345478516	53.72849563	both	NA
OG0001115	5.366585938	44.2537172	both	NA
OG0001128	11.49082227	28.62404664	both	NA
OG0000152	8.621323343	124.7194074	both	NA
OG0001113	3.445525391	97.25947813	both	NA
OG0001118	3.232	62.06324199	both	NA
OG0000943	0.337603516	8.674918367	CHUG	NA
OG0001016	0.301472656	41.04327114	PRC	NA
OG0000737	0.128289063	41.00886297	PRC	NA
OG0000834	0.073140625	36.80699108	PRC	NA
OG0001352	0.023011719	36.1319621	PRC	NA
OG0001132	0.137488281	35.97624199	PRC	NA
OG0001127	0.020007813	35.36328571	PRC	NA
OG0000918	0.183035156	34.20044023	PRC	NA
OG0001131	0.303265625	31.71875219	PRC	NA
OG0001117	0.192419922	29.41876969	PRC	NA
OG0000941	0.216896484	28.79979883	PRC	NA
OG0000689	0.0904375	26.56802679	PRC	NA
OG0001122	0.125945313	26.48980467	PRC	NA
OG0001108	0.32184375	26.45036734	PRC	NA
OG0001136	0.219535156	25.82029446	PRC	NA
OG0000726	0.079626953	25.56741983	PRC	NA
OG0001269	0.096556641	25.4245481	PRC	NA
OG0001130	0.065265625	25.13956269	PRC	NA
OG0001448	0.033929688	24.52045635	PRC	NA
OG0001138	0.073248047	17.71363849	PRC	NA
OG0000946	0.273107422	17.0964723	PRC	NA
OG0000990	0.232214844	15.42044314	PRC	NA
OG0001133	0.0615625	13.07555685	PRC	NA
OG0001195	0.167427734	12.70053644	PRC	NA
OG0001014	0.178417969	12.37442274	PRC	NA
