rank	type	sample	location	CHUG	LSUCC1028	LSUCC0246	LSUCC0387	HKCCA1288	FZCC0188	HKCCD6035	HKCCA1065	FZCC0069	RCA23	LE17	HTCC2083	HTCC2150	HTCC2255	SB2	HIMB11	SUM
-1	TARA	ERR3589580	AO	0.004	0	0	0.004	0	0	0	0	0	0.013	0.002	0.002	0.003	0.001	0.001	0	0.024
-2	TARA	ERR3589574	AO	0.002	0	0	0.002	0	0	0	0	0	0.007	0.001	0.002	0.002	0.009	0	0	0.022
-3	TARA	ERR3589591	AO	0.002	0	0	0.001	0	0	0	0	0	0.005	0.001	0.001	0.001	0.089	0.042	0.001	0.14
-4	TARA	ERR3589585	AO	0.002	0	0	0.002	0	0	0	0	0	0.004	0	0	0	0.047	0.001	0	0.053
-5	TARA	ERR3589584	AO	0.002	0	0	0.002	0	0	0	0	0	0.001	0	0	0	0.002	0.001	0	0.005
-6	TARA	ERR3589593	AO	0.001	0	0	0.001	0	0	0	0	0	0.004	0	0.001	0	0.002	0	0	0.008
-7	TARA	ERR3589572	AO	0.001	0	0	0	0	0	0	0	0	0.025	0.003	0.011	0.01	0.068	0.001	0	0.119
-8	TARA	ERR3589586	AO	0.001	0	0	0.001	0	0	0	0	0	0.022	0.003	0.007	0.007	0.007	0.001	0	0.047
-9	TARA	ERR3589567	AO	0.001	0	0	0.001	0	0	0	0	0	0.007	0.001	0.001	0.001	0.002	0	0	0.012
-10	TARA	ERR3589581	AO	0.001	0	0	0	0	0	0	0	0	0.027	0.004	0.007	0.006	0.106	0.001	0	0.15
-11	TARA	ERR3589578	AO	0.001	0	0	0	0	0	0	0	0	0.059	0.007	0.006	0.006	0.018	0.002	0	0.098
-12	TARA	ERR3589568	AO	0.001	0	0	0	0	0	0	0	0	0.027	0.004	0.004	0.002	0.002	0.001	0	0.04
-13	TARA	ERR3589583	AO	0.001	0	0	0	0.001	0	0	0	0	0.005	0.002	0.001	0.001	0.181	0.045	0.001	0.236
-14	TARA	ERR3589563	AO	0.001	0	0	0.001	0	0	0	0	0	0.005	0.001	0	0	0.015	0	0	0.022
-15	TARA	ERR3589573	AO	0.001	0	0	0.001	0	0	0	0	0	0.007	0.001	0.001	0.001	0.003	0	0	0.013
-16	TARA	ERR3589560	AO	0.001	0	0	0.001	0	0	0	0	0	0.009	0.001	0.001	0.001	0.006	0.001	0	0.018
-17	TARA	ERR3589556	AO	0.001	0	0	0	0	0	0	0	0	0.022	0.003	0.004	0.006	0.006	0.001	0	0.042
-18	TARA	ERR3589590	AO	0.001	0	0	0	0	0	0	0	0	0.045	0.006	0.012	0.013	0.012	0.001	0	0.09
-19	TARA	ERR3589570	AO	0.001	0	0	0.001	0	0	0	0	0	0.004	0	0	0	0.001	0	0	0.006
-20	TARA	ERR3589562	AO	0.001	0	0	0	0	0	0	0	0	0.012	0.001	0.001	0.001	0.029	0.001	0	0.045
-21	TARA	ERR3589561	AO	0.001	0	0	0	0	0	0	0	0	0.013	0.002	0.002	0.002	0.028	0.001	0	0.047
-22	TARA	ERR3589558	AO	0.001	0	0	0	0	0	0	0	0	0.015	0.002	0.005	0.007	0.005	0.001	0	0.035
-23	TARA	ERR3589559	AO	0.001	0	0	0	0	0	0	0	0	0.021	0.003	0.007	0.008	0.063	0.001	0	0.103
-24	TARA	ERR3589566	AO	0.001	0	0	0	0	0	0	0	0	0.054	0.005	0.006	0.006	0.012	0.001	0	0.084
-25	TARA	ERR3589557	AO	0.001	0	0	0	0	0	0	0	0	0.021	0.003	0.002	0.002	0.015	0.001	0	0.045
-26	TARA	ERR3589589	AO	0.001	0	0	0	0	0	0	0	0	0.032	0.003	0.004	0.004	0.004	0.001	0	0.049
-27	TARA	ERR3589571	AO	0.001	0	0	0	0	0	0	0	0	0.02	0.003	0.003	0.004	0.003	0	0	0.034
-28	TARA	ERR3589576	AO	0.001	0	0	0	0	0	0	0	0	0.018	0.002	0.002	0.002	0.053	0.001	0	0.078
-29	TARA	ERR3589565	AO	0	0	0	0	0	0	0	0	0	0.026	0.003	0.003	0.002	0.192	0.003	0	0.229
-30	TARA	ERR3589587	AO	0	0	0	0	0	0	0	0	0	0.029	0.004	0.002	0.002	0.264	0.002	0	0.303
-31	TARA	ERR3589553	AO	0	0	0	0	0	0	0	0	0	0.035	0.003	0.003	0.003	0.006	0.001	0	0.051
-32	TARA	ERR3589582	AO	0	0	0	0	0	0	0	0	0	0.012	0.002	0.001	0.001	0.037	0.001	0	0.054
-33	TARA	ERR3589577	AO	0	0	0	0	0	0	0	0	0	0.038	0.004	0.005	0.004	0.005	0.001	0	0.057
-34	TARA	ERR3589579	AO	0	0	0	0	0	0	0	0	0	0.028	0.002	0.002	0.002	0.006	0.001	0	0.041
-35	TARA	ERR3589592	AO	0	0	0	0	0	0	0	0	0	0.019	0.003	0.001	0.001	0.773	0.003	0	0.801
-36	TARA	ERR3589555	AO	0	0	0	0	0	0	0	0	0	0.032	0.003	0.002	0.002	0.022	0.001	0	0.062
-37	TARA	ERR3589554	AO	0	0	0	0	0	0	0	0	0	0.037	0.003	0.003	0.002	0.009	0.001	0	0.055
-38	TARA	ERR3589588	AO	0	0	0	0	0	0	0	0	0	0.014	0.002	0.002	0.001	0.187	0.001	0	0.208
-39	TARA	ERR3589569	AO	0	0	0	0	0	0	0	0	0	0.018	0.001	0.001	0.002	0.011	0.001	0	0.034
-40	TARA	ERR3589575	AO	0	0	0	0	0	0	0	0	0	0.005	0.001	0.001	0.001	0.017	0	0	0.024
-41	TARA	ERR3589564	AO	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0.043	0	0	0.048
-42	TARA	ERR598985	NAO	0.014	0.005	0.008	0.001	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.003
-43	TARA	ERR599166	NAO	0.005	0.001	0.001	0.002	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.003
-44	TARA	ERR599047	NAO	0.003	0.001	0.001	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-45	TARA	ERR598964	NAO	0.002	0.001	0.001	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-46	TARA	ERR598944	NAO	0.002	0.001	0.001	0.001	0	0	0	0	0	0.001	0	0.001	0	0.001	0	0	0.003
-47	TARA	ERR599100	NAO	0.002	0	0.001	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-48	TARA	ERR599029	NAO	0.001	0	0	0	0.001	0	0	0	0	0.002	0	0	0.001	0.001	0.001	0.059	0.065
-49	TARA	ERR598958	NAO	0.001	0	0.001	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-50	TARA	ERR599136	NAO	0.001	0	0	0.001	0.001	0	0	0	0	0.002	0	0	0.001	0.001	0	0	0.004
-51	TARA	ERR599003	NAO	0.001	0	0	0	0.001	0	0	0	0	0.003	0.001	0	0	0.001	0.288	0.001	0.295
-52	TARA	ERR598950	NAO	0.001	0	0	0	0.001	0	0	0	0	0.003	0	0	0	0.001	0.08	0.001	0.087
-53	TARA	ERR598955	NAO	0.001	0	0	0	0.001	0	0	0	0	0.003	0.001	0	0	0.001	0.267	0.001	0.273
-54	TARA	ERR599095	NAO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.066	0.001	0.072
-55	TARA	ERR598968	NAO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-56	TARA	ERR598986	NAO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0	0.004
-57	TARA	ERR599001	NAO	0.001	0	0	0	0	0	0	0	0	0.002	0	0.001	0	0.001	0.003	0.001	0.008
-58	TARA	ERR599078	NAO	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0	0.001	0.004	0.001	0.01
-59	TARA	ERR599123	NAO	0	0	0	0	0	0	0	0	0	0.002	0	0	0.001	0.001	0	0	0.005
-60	TARA	ERR598963	NAO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-61	TARA	ERR598976	NAO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.001	0.005
-62	TARA	ERR599170	NAO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.001	0.005
-63	TARA	ERR598996	NAO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-64	TARA	ERR598983	NAO	0	0	0	0	0	0	0	0	0	0.006	0.001	0	0	0.004	0.025	0	0.037
-65	TARA	ERR599044	SAO	0.013	0	0.001	0.012	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-66	TARA	ERR599149	SAO	0.013	0	0.001	0.012	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.003
-67	TARA	ERR599131	SAO	0.008	0	0	0.007	0	0	0	0	0	0.001	0	0	0	0.001	0.001	0	0.004
-68	TARA	ERR598947	SAO	0.008	0	0	0.007	0	0	0	0	0	0.001	0	0	0	0.001	0.001	0	0.003
-69	TARA	ERR599000	SAO	0.002	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-70	TARA	ERR599154	SAO	0.002	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-71	TARA	ERR599159	SAO	0.001	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.002
-72	TARA	ERR599124	SAO	0.001	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.003
-73	TARA	ERR598994	SAO	0.001	0	0	0	0	0	0	0	0	0.129	0.042	0.027	0.002	1.511	1.452	0.001	3.164
-74	TARA	ERR599048	SAO	0.001	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.003
-75	TARA	ERR599035	SAO	0.001	0	0	0.001	0	0	0	0	0	0.03	0.005	0.007	0.002	1.944	0.003	0	1.991
-76	TARA	ERR599144	SAO	0.001	0	0	0	0	0	0	0	0	0.129	0.043	0.026	0.002	1.508	1.451	0.001	3.161
-77	TARA	ERR599107	SAO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.002	0.002	0.001	0.008
-78	TARA	ERR599009	SAO	0.001	0	0	0	0	0	0	0	0	0.029	0.005	0.007	0.002	1.994	0.003	0	2.04
-79	TARA	ERR598982	SAO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.002	0.002	0.001	0.008
-80	TARA	ERR599137	SAO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-81	TARA	ERR599148	SAO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-82	TARA	ERR599046	SAO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-83	TARA	ERR599005	SAO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.003
-84	TARA	ERR599027	SAO	0.001	0	0	0	0	0	0	0	0	0.029	0.004	0.005	0.002	1.829	0.002	0	1.872
-85	TARA	ERR599122	SAO	0.001	0	0	0	0	0	0	0	0	0.027	0.004	0.005	0.002	1.91	0.002	0	1.95
-86	TARA	ERR599135	SAO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0.001	0.003
-87	TARA	ERR599040	SAO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-88	TARA	ERR599165	SAO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0.001	0.003
-89	TARA	ERR599101	SAO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.004
-90	TARA	ERR599022	SAO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.001	0.005
-91	TARA	ERR599010	SAO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0.002	0	0.004
-92	TARA	ERR599006	SAO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0	0.005
-93	TARA	ERR599126	SAO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0.002	0	0.004
-94	TARA	ERR599129	SAO	0	0	0	0	0	0	0	0	0	0.002	0	0.001	0	0.001	0.001	0	0.006
-95	TARA	ERR599174	SAO	0	0	0	0	0	0	0	0	0	0.002	0	0.001	0	0.001	0.001	0	0.006
-96	TARA	ERR599171	SAO	0	0	0	0	0	0	0	0	0	0.002	0	0.001	0	0.001	0.001	0	0.006
-97	TARA	ERR599173	SAO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.002	0.003	0.001	0.009
-98	TARA	ERR599133	SAO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-99	TARA	ERR599068	SAO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.002	0.003	0.001	0.008
