OGOrthogroup	GNM1107	GNM1232	GNM1382	GNM1383	GNM1670	GNM1683	GNM225	GNM3434	GNM356	GNM358	GNM3890	GNM425	GNM4440	GNM50571	GNM565	GNM694	GNM742	GNM746	GNM747
OG0000000	12	12	12	11	13	11	8	12	17	12	17	16	18	12	9	15	15	11	17
OG0000001	9	7	10	12	9	10	7	9	7	7	8	15	10	8	17	11	14	19	18
OG0000002	4	3	8	14	3	5	7	3	3	4	2	4	2	3	4	7	3	12	11
OG0000003	3	8	3	9	3	4	3	3	7	2	3	9	6	3	2	11	6	13	8
OG0000004	7	5	6	7	4	4	5	6	5	4	6	5	5	5	10	9	3	11	12
OG0000005	9	1	7	11	6	5	6	5	3	5	5	8	2	5	13	8	7	9	15
OG0000006	1	12	2	6	5	6	7	4	6	4	6	5	6	4	7	6	5	7	12
OG0000007	2	2	4	14	2	2	1	2	3	2	3	3	4	2	1	1	4	5	5
OG0000008	6	6	8	8	7	7	5	7	7	7	7	6	7	7	6	3	5	7	5
OG0000009	1	3	3	5	2	1	4	2	2	2	2	5	2	1	8	3	5	8	10
OG0000010	12	1	3	2	0	1	0	0	0	0	0	9	0	2	3	10	4	4	3
OG0000011	4	3	5	3	0	0	3	0	0	0	0	5	0	0	4	5	6	3	4
OG0000012	2	2	3	4	2	1	3	2	2	2	2	4	2	1	8	3	4	7	10
OG0000013	2	1	5	9	1	2	3	1	1	2	1	1	2	1	2	3	5	5	4
OG0000014	1	1	7	12	7	8	4	9	9	8	8	5	9	9	8	4	3	11	15
OG0000015	0	2	0	0	2	3	0	2	0	4	2	4	0	2	3	0	4	5	3
OG0000016	0	2	0	1	1	2	1	0	1	0	1	4	1	0	3	7	3	3	4
OG0000017	9	1	1	3	0	1	1	0	0	0	0	5	0	2	3	11	4	4	1
OG0000018	5	8	4	3	2	3	6	2	2	2	2	2	2	1	6	7	1	4	3
OG0000019	0	2	5	1	0	0	7	0	0	0	0	5	0	0	4	6	0	1	3
OG0000020	3	0	5	6	2	4	1	4	3	4	5	5	4	4	4	8	4	13	10
OG0000021	0	2	0	1	1	2	1	0	1	0	1	8	1	0	3	7	3	3	4
OG0000022	6	1	4	4	6	4	5	5	3	5	6	5	7	6	2	5	2	5	3
OG0000023	4	3	3	3	2	1	3	2	2	2	2	3	2	1	9	5	4	6	8
OG0000024	1	2	5	8	2	2	1	2	3	2	1	4	1	2	2	3	4	6	7
OG0000025	1	3	3	3	4	4	3	4	3	2	4	7	4	5	8	4	5	10	7
OG0000026	1	3	4	2	2	3	2	2	1	2	2	5	1	2	4	3	2	7	4
OG0000027	2	23	2	0	0	0	2	0	0	0	0	7	0	0	1	1	2	0	1
OG0000028	5	2	4	6	3	3	1	3	3	3	3	0	3	3	3	2	1	6	6
OG0000029	1	6	3	2	2	2	2	2	0	2	0	2	0	2	3	4	1	1	1
OG0000030	4	4	5	6	2	2	1	2	2	2	2	4	2	2	3	2	3	3	3
