child	parent	OG	type	number
GNM425	node32	OG0000000	plus	16	15
GNM425	node32	OG0000001	plus	15	14
GNM425	node32	OG0000002	plus	4	3
GNM425	node32	OG0000003	plus	9	6
GNM425	node32	OG0000004	nochange	5	5
GNM425	node32	OG0000005	plus	8	7
GNM425	node32	OG0000006	nochange	5	5
GNM425	node32	OG0000007	minus	3	4
GNM425	node32	OG0000008	nochange	6	6
GNM425	node32	OG0000009	nochange	5	5
GNM425	node32	OG0000010	plus	9	4
GNM425	node32	OG0000011	nochange	5	5
GNM425	node32	OG0000012	nochange	4	4
GNM425	node32	OG0000013	nochange	1	1
GNM425	node32	OG0000014	plus	5	3
GNM425	node32	OG0000015	nochange	4	4
GNM425	node32	OG0000016	plus	4	3
GNM425	node32	OG0000017	plus	5	4
GNM425	node32	OG0000018	nochange	2	2
GNM425	node32	OG0000019	add	5	0
GNM425	node32	OG0000020	plus	5	4
GNM425	node32	OG0000021	plus	8	3
GNM425	node32	OG0000022	nochange	5	5
GNM425	node32	OG0000023	nochange	3	3
GNM425	node32	OG0000024	nochange	4	4
GNM425	node32	OG0000025	plus	7	5
GNM425	node32	OG0000026	plus	5	2
GNM425	node32	OG0000027	plus	7	2
GNM425	node32	OG0000028	del	0	1
GNM425	node32	OG0000029	nochange	2	2
GNM425	node32	OG0000030	plus	4	3
GNM425	node32	OG0000031	nochange	4	4
GNM425	node32	OG0000032	nochange	2	2
GNM425	node32	OG0000033	nochange	1	1
GNM425	node32	OG0000034	plus	4	2
GNM425	node32	OG0000035	nochange	4	4
GNM425	node32	OG0000036	nochange	2	2
GNM425	node32	OG0000037	nochange	2	2
GNM425	node32	OG0000039	nochange	3	3
GNM425	node32	OG0000040	nochange	3	3
GNM425	node32	OG0000041	plus	6	4
GNM425	node32	OG0000042	nochange	2	2
GNM425	node32	OG0000043	minus	2	4
GNM425	node32	OG0000044	nochange	3	3
GNM425	node32	OG0000045	plus	4	3
GNM425	node32	OG0000046	nochange	5	5
GNM425	node32	OG0000047	minus	8	10
GNM425	node32	OG0000048	nochange	3	3
GNM425	node32	OG0000049	minus	1	2
GNM425	node32	OG0000050	plus	7	3
GNM425	node32	OG0000051	plus	6	3
GNM425	node32	OG0000052	nochange	2	2
GNM425	node32	OG0000053	minus	2	4
GNM425	node32	OG0000054	nochange	2	2
GNM425	node32	OG0000055	plus	8	5
GNM425	node32	OG0000056	nochange	2	2
GNM425	node32	OG0000057	nochange	4	4
GNM425	node32	OG0000058	nochange	3	3
GNM425	node32	OG0000059	nochange	3	3
GNM425	node32	OG0000060	nochange	1	1
GNM425	node32	OG0000061	nochange	2	2
GNM425	node32	OG0000062	nochange	2	2
GNM425	node32	OG0000063	nochange	3	3
GNM425	node32	OG0000064	add	1	0
GNM425	node32	OG0000065	nochange	1	1
GNM425	node32	OG0000066	plus	3	1
GNM425	node32	OG0000067	nochange	3	3
GNM425	node32	OG0000068	minus	1	2
GNM425	node32	OG0000069	nochange	5	5
GNM425	node32	OG0000070	plus	6	2
GNM425	node32	OG0000071	plus	3	2
GNM425	node32	OG0000073	nochange	3	3
GNM425	node32	OG0000074	nochange	5	5
GNM425	node32	OG0000075	plus	2	1
GNM425	node32	OG0000076	plus	5	4
GNM425	node32	OG0000077	nochange	2	2
GNM425	node32	OG0000078	nochange	2	2
GNM425	node32	OG0000079	plus	2	1
GNM425	node32	OG0000080	nochange	2	2
GNM425	node32	OG0000081	add	1	0
GNM425	node32	OG0000082	nochange	1	1
GNM425	node32	OG0000083	plus	3	2
GNM425	node32	OG0000084	nochange	2	2
GNM425	node32	OG0000085	nochange	1	1
GNM425	node32	OG0000086	plus	9	6
GNM425	node32	OG0000087	nochange	1	1
GNM425	node32	OG0000088	nochange	2	2
GNM425	node32	OG0000089	nochange	1	1
GNM425	node32	OG0000090	nochange	2	2
GNM425	node32	OG0000091	nochange	2	2
GNM425	node32	OG0000092	del	0	1
GNM425	node32	OG0000093	nochange	2	2
GNM425	node32	OG0000094	nochange	2	2
GNM425	node32	OG0000095	nochange	2	2
GNM425	node32	OG0000096	minus	1	2
GNM425	node32	OG0000098	nochange	3	3
GNM425	node32	OG0000099	plus	3	2
GNM425	node32	OG0000100	nochange	1	1
GNM425	node32	OG0000101	plus	2	1
GNM425	node32	OG0000103	nochange	1	1
GNM425	node32	OG0000104	nochange	2	2
GNM425	node32	OG0000105	nochange	1	1
GNM425	node32	OG0000106	nochange	1	1
GNM425	node32	OG0000107	minus	2	3
GNM425	node32	OG0000108	nochange	2	2
GNM425	node32	OG0000109	plus	3	1
GNM425	node32	OG0000110	nochange	2	2
GNM425	node32	OG0000111	plus	4	2
GNM425	node32	OG0000114	del	0	1
GNM425	node32	OG0000115	nochange	2	2
GNM425	node32	OG0000116	minus	1	2
GNM425	node32	OG0000117	nochange	1	1
GNM425	node32	OG0000118	nochange	1	1
GNM425	node32	OG0000119	nochange	2	2
GNM425	node32	OG0000120	plus	2	1
GNM425	node32	OG0000121	plus	3	2
GNM425	node32	OG0000122	nochange	2	2
GNM425	node32	OG0000123	nochange	2	2
GNM425	node32	OG0000124	plus	5	3
GNM425	node32	OG0000125	plus	5	4
GNM425	node32	OG0000126	plus	2	1
GNM425	node32	OG0000127	del	0	1
GNM425	node32	OG0000128	nochange	2	2
GNM425	node32	OG0000129	plus	2	1
GNM425	node32	OG0000130	add	1	0
GNM425	node32	OG0000131	nochange	1	1
GNM425	node32	OG0000132	nochange	1	1
GNM425	node32	OG0000133	nochange	2	2
GNM425	node32	OG0000134	nochange	2	2
GNM425	node32	OG0000135	nochange	2	2
GNM425	node32	OG0000136	minus	1	2
GNM425	node32	OG0000137	nochange	1	1
GNM425	node32	OG0000138	nochange	2	2
GNM425	node32	OG0000139	nochange	2	2
GNM425	node32	OG0000140	nochange	1	1
GNM425	node32	OG0000141	nochange	2	2
GNM425	node32	OG0000142	minus	1	2
GNM425	node32	OG0000143	nochange	2	2
GNM425	node32	OG0000144	nochange	1	1
GNM425	node32	OG0000145	nochange	1	1
GNM425	node32	OG0000146	plus	2	1
GNM425	node32	OG0000147	plus	2	1
GNM425	node32	OG0000148	nochange	2	2
GNM425	node32	OG0000149	nochange	2	2
GNM425	node32	OG0000150	nochange	2	2
GNM425	node32	OG0000151	nochange	2	2
GNM425	node32	OG0000152	nochange	3	3
GNM425	node32	OG0000153	nochange	1	1
GNM425	node32	OG0000155	nochange	1	1
GNM425	node32	OG0000157	plus	3	1
GNM425	node32	OG0000158	plus	2	1
GNM425	node32	OG0000159	nochange	2	2
GNM425	node32	OG0000161	plus	2	1
GNM425	node32	OG0000162	nochange	3	3
GNM425	node32	OG0000163	nochange	2	2
GNM425	node32	OG0000164	nochange	4	4
GNM425	node32	OG0000165	nochange	2	2
GNM425	node32	OG0000167	minus	1	2
GNM425	node32	OG0000168	nochange	2	2
GNM425	node32	OG0000169	nochange	1	1
GNM425	node32	OG0000170	nochange	2	2
GNM425	node32	OG0000171	add	1	0
GNM425	node32	OG0000172	nochange	1	1
GNM425	node32	OG0000173	plus	2	1
GNM425	node32	OG0000174	plus	2	1
GNM425	node32	OG0000175	plus	3	2
GNM425	node32	OG0000176	nochange	1	1
GNM425	node32	OG0000177	nochange	1	1
GNM425	node32	OG0000178	nochange	2	2
GNM425	node32	OG0000179	nochange	2	2
GNM425	node32	OG0000180	nochange	2	2
GNM425	node32	OG0000181	nochange	2	2
GNM425	node32	OG0000182	nochange	2	2
GNM425	node32	OG0000183	plus	2	1
GNM425	node32	OG0000185	nochange	1	1
GNM425	node32	OG0000186	nochange	1	1
GNM425	node32	OG0000187	nochange	1	1
GNM425	node32	OG0000188	nochange	1	1
GNM425	node32	OG0000189	plus	2	1
GNM425	node32	OG0000190	nochange	2	2
GNM425	node32	OG0000192	minus	1	2
GNM425	node32	OG0000193	nochange	2	2
GNM425	node32	OG0000194	nochange	2	2
GNM425	node32	OG0000195	nochange	2	2
GNM425	node32	OG0000196	nochange	2	2
GNM425	node32	OG0000197	minus	1	2
GNM425	node32	OG0000198	del	0	1
GNM425	node32	OG0000199	nochange	1	1
GNM425	node32	OG0000200	nochange	1	1
GNM425	node32	OG0000201	plus	3	1
GNM425	node32	OG0000202	nochange	2	2
GNM425	node32	OG0000203	nochange	1	1
GNM425	node32	OG0000204	plus	3	1
GNM425	node32	OG0000205	nochange	2	2
GNM425	node32	OG0000206	nochange	1	1
GNM425	node32	OG0000208	nochange	1	1
GNM425	node32	OG0000209	nochange	1	1
GNM425	node32	OG0000210	add	1	0
GNM425	node32	OG0000211	plus	2	1
GNM425	node32	OG0000212	nochange	1	1
GNM425	node32	OG0000213	nochange	1	1
GNM425	node32	OG0000214	nochange	1	1
GNM425	node32	OG0000216	nochange	3	3
GNM425	node32	OG0000218	nochange	2	2
GNM425	node32	OG0000219	plus	2	1
GNM425	node32	OG0000220	nochange	1	1
GNM425	node32	OG0000221	nochange	1	1
GNM425	node32	OG0000222	nochange	1	1
GNM425	node32	OG0000223	nochange	2	2
GNM425	node32	OG0000225	nochange	2	2
GNM425	node32	OG0000226	nochange	2	2
GNM425	node32	OG0000227	minus	1	2
GNM425	node32	OG0000228	nochange	2	2
GNM425	node32	OG0000229	nochange	2	2
GNM425	node32	OG0000230	nochange	2	2
GNM425	node32	OG0000231	nochange	1	1
GNM425	node32	OG0000232	nochange	1	1
GNM425	node32	OG0000233	nochange	1	1
GNM425	node32	OG0000234	minus	1	2
GNM425	node32	OG0000235	nochange	1	1
GNM425	node32	OG0000236	nochange	2	2
GNM425	node32	OG0000237	plus	5	1
GNM425	node32	OG0000238	plus	2	1
GNM425	node32	OG0000239	nochange	2	2
GNM425	node32	OG0000240	nochange	1	1
GNM425	node32	OG0000241	nochange	1	1
GNM425	node32	OG0000242	nochange	2	2
GNM425	node32	OG0000243	nochange	1	1
GNM425	node32	OG0000244	plus	2	1
GNM425	node32	OG0000245	nochange	1	1
GNM425	node32	OG0000247	nochange	2	2
GNM425	node32	OG0000248	nochange	2	2
GNM425	node32	OG0000249	nochange	1	1
GNM425	node32	OG0000250	nochange	1	1
GNM425	node32	OG0000251	plus	4	2
GNM425	node32	OG0000252	nochange	1	1
GNM425	node32	OG0000253	nochange	1	1
GNM425	node32	OG0000254	nochange	2	2
GNM425	node32	OG0000256	nochange	1	1
GNM425	node32	OG0000258	nochange	2	2
GNM425	node32	OG0000259	plus	3	1
GNM425	node32	OG0000260	nochange	1	1
GNM425	node32	OG0000261	nochange	1	1
GNM425	node32	OG0000263	nochange	1	1
GNM425	node32	OG0000264	nochange	1	1
GNM425	node32	OG0000265	nochange	2	2
GNM425	node32	OG0000266	add	1	0
GNM425	node32	OG0000267	add	3	0
GNM425	node32	OG0000268	nochange	1	1
GNM425	node32	OG0000270	nochange	2	2
GNM425	node32	OG0000271	plus	6	3
GNM425	node32	OG0000274	minus	1	2
GNM425	node32	OG0000275	plus	3	2
GNM425	node32	OG0000276	nochange	1	1
GNM425	node32	OG0000277	nochange	1	1
GNM425	node32	OG0000278	nochange	2	2
GNM425	node32	OG0000279	nochange	2	2
GNM425	node32	OG0000280	nochange	2	2
GNM425	node32	OG0000281	nochange	1	1
GNM425	node32	OG0000282	plus	2	1
GNM425	node32	OG0000283	plus	3	1
GNM425	node32	OG0000286	nochange	2	2
GNM425	node32	OG0000287	nochange	1	1
GNM425	node32	OG0000289	plus	2	1
GNM425	node32	OG0000290	nochange	1	1
GNM425	node32	OG0000291	nochange	1	1
GNM425	node32	OG0000292	nochange	1	1
GNM425	node32	OG0000293	nochange	1	1
GNM425	node32	OG0000294	nochange	1	1
