ID	genome_ID	Group	Genome_size	Gene_number	Coding_density	GC_content	N_ARSC	C_ARSC	Ortholog_family_number	Gene_number_per_family	Regulatory_gene_number	Regulatory_gene_ratio
GNM356	LSUCC0246	CHUG members	2435764	2418	91.1	54.4	0.341716625	2.838326493	2132	1.134146341	90	0.037220844
GNM4440	LSUCC0387	CHUG members	2524691	2488	91.2	54.2	0.343032561	2.84222839	2175	1.143908046	92	0.036977492
GNM3890	HKCCD6035	CHUG members	2443746	2437	91.6	55.1	0.344776448	2.833333333	2171	1.122524182	94	0.038572015
GNM1670	FZCC0069	CHUG members	2474302	2453	92	55.9	0.345885205	2.830021473	2238	1.096067918	107	0.043620057
GNM358	LSUCC1028	CHUG members	2453809	2434	92	55.7	0.343401462	2.828345963	2224	1.09442446	104	0.04272802
GNM1683	FZCC0188	CHUG members	2522572	2516	91.9	56.2	0.346339912	2.831241898	2263	1.111798498	109	0.043322734
GNM3434	HKCCA1065	CHUG members	2615426	2638	92.4	56.4	0.345387236	2.826059319	2341	1.126868859	115	0.043593632
GNM50571	HKCCA1288	CHUG members	2663031	2611	92.48	56.1	0.345501388	2.828673149	2332	1.119639794	106	0.040597472
GNM1363	Phaeobacter caeruleus DSM24564	other Roseobacter	5344419	5183	87.9	63.3	0.349825091	2.817148103	4134	1.253749395	295	0.056916844
GNM1059	Phaeobacter sp. Y4I	other Roseobacter	4344244	4102	87.3	64.4	0.348400789	2.814755927	3450	1.188985507	248	0.060458313
GNM774	Phaeobacter gallaeciensis ANG1	other Roseobacter	4587644	4339	89.1	62.8	0.342279792	2.824376484	3357	1.292523086	285	0.065683337
GNM773	Leisingera methylohalidivorans MB2	other Roseobacter	4650996	4487	86.3	62.3	0.348741165	2.815180898	3626	1.237451737	272	0.060619568
GNM1362	Leisingera aquimarina R-26159	other Roseobacter	5344253	5140	87.2	61.4	0.351187519	2.826419655	3791	1.355842786	303	0.058949416
GNM1427	Phaeobacter arcticus 20188	other Roseobacter	5049234	4813	87.8	59.3	0.344600621	2.826375078	3654	1.317186645	293	0.060876792
GNM1126	Roseobacter sp. MED193	other Roseobacter	4674070	4461	88.4	57.5	0.343354382	2.83757119	3676	1.213547334	280	0.062766196
GNM1130	Roseobacter sp. SK209-2-6	other Roseobacter	4555826	4395	88.1	57	0.344532999	2.852996454	3606	1.218801997	297	0.067576792
GNM1187	Ruegeria sp. TrichCH4B	other Roseobacter	4689084	4499	87.8	58.8	0.346648099	2.825508965	3851	1.168267982	284	0.063125139
GNM1177	Ruegeria sp. TM1040	other Roseobacter	4153699	3916	88.4	60.1	0.345409747	2.830388777	3224	1.214640199	253	0.064606742
GNM495	Phaeobacter gallaeciensis BS107	other Roseobacter	4540155	4376	88.9	59.4	0.346479298	2.823239537	3589	1.219281137	260	0.059414991
GNM926	Phaeobacter gallaeciensis 2.10	other Roseobacter	4160918	3887	88.5	59.8	0.345815807	2.819745904	3143	1.236716513	242	0.062258811
GNM1176	Ruegeria sp. R11	other Roseobacter	3821839	3567	89	60	0.345349752	2.817623466	3158	1.12951235	223	0.062517522
GNM1026	Rhodobacterales bacterium KLH11	other Roseobacter	4487498	4375	89.3	57.7	0.346264186	2.837187353	3451	1.267748479	214	0.048914286
GNM594	Ruegeria sp. TW15	other Roseobacter	4490413	4416	90.6	55.7	0.34015904	2.862633078	3509	1.258478199	253	0.057291667
GNM1186	Ruegeria lacuscaerulensis ITI-1157	other Roseobacter	3503407	3473	90.7	63	0.354934716	2.847781504	3058	1.135709614	179	0.051540455
GNM1170	Ruegeria pomeroyi DSS-3	other Roseobacter	4601048	4393	90.3	64.1	0.352566636	2.81882362	3366	1.305109923	291	0.066241748
GNM1546	Leisingera nanhaiensis NH52F	other Roseobacter	4948550	4818	89.2	60.8	0.35477574	2.827361081	3657	1.317473339	245	0.050850976
GNM1213	Sulfitobacter sp. EE36	other Roseobacter	3548498	3417	90.6	60.3	0.335805909	2.81674717	2993	1.141663882	184	0.053848405
GNM1125	Roseobacter sp. GAI101	other Roseobacter	4527951	4256	89.6	58.7	0.335445357	2.823787276	3347	1.271586495	230	0.054041353
GNM848	Oceanibulbus indolifex HEL45	other Roseobacter	4105524	4086	89.4	59.5	0.342669766	2.823133152	3306	1.235934664	223	0.054576603
GNM1121	Roseobacter litoralis Och149	other Roseobacter	4745450	4592	89.6	57.2	0.336661407	2.835650387	3597	1.276619405	217	0.047256098
GNM1120	Roseobacter denitrificans OCh114	other Roseobacter	4331234	4103	90.4	58.9	0.3399686	2.830936913	3467	1.1834439	186	0.045332683
GNM576	Roseobacter sp. R2A57	other Roseobacter	4136410	4123	89.3	53	0.337804711	2.86548857	3588	1.149108138	228	0.055299539
GNM915	Pelagibaca bermudensis HTCC2601	other Roseobacter	5482983	5060	87.6	66.4	0.345424311	2.801315403	4076	1.24141315	304	0.060079051
GNM684	Citreicella sp. SE45	other Roseobacter	5523231	5222	86.5	67.5	0.352242795	2.80443806	4068	1.283677483	333	0.063768671
GNM683	Citreicella SP. 357	other Roseobacter	4598615	4472	88	64.2	0.357914899	2.801705412	3606	1.240155297	203	0.04539356
GNM1179	Sagittula stellata E-37	other Roseobacter	5262893	5015	88.7	65	0.345950696	2.806950734	3863	1.298213823	294	0.058624128
GNM973	Oceanicola batsensis HTCC2597	other Roseobacter	4440389	4151	89.7	66.1	0.354739902	2.804468471	3281	1.26516306	222	0.053481089
GNM1148	Roseovarius sp. 217	other Roseobacter	4770736	4675	90.1	60.8	0.351771403	2.82707521	3702	1.262830902	257	0.054973262
GNM1154	Roseovarius sp. TM1035	other Roseobacter	4209812	4036	91	61	0.349307348	2.81537461	3397	1.188107153	225	0.055748266
GNM1122	Roseobacter sp. AzwK-3b	other Roseobacter	4178704	4049	89	61.8	0.354869132	2.822182124	3290	1.230699088	188	0.046431218
GNM1146	Roseovarius nubinhibens ISM	other Roseobacter	3676244	3489	90.1	63.9	0.351649322	2.823907227	2945	1.184719864	227	0.065061622
GNM811	Loktanella vestfoldensis SKA53	other Roseobacter	3066852	2987	91.6	60	0.34097553	2.809109396	2690	1.110408922	144	0.048208905
GNM1123	Roseobacter sp. CCS2	other Roseobacter	3497325	3562	91.8	55.5	0.330914459	2.833824196	3178	1.120830711	164	0.04604155
GNM444	Loktanella sp. SE62	other Roseobacter	4581948	4426	86.5	61.6	0.33083604	2.698608289	3859	1.146929256	260	0.058743787
GNM859	Octadecabacter antarcticus 307	other Roseobacter	4875481	5307	85.7	54.6	0.34443373	2.843142793	3286	1.615033475	200	0.037686075
GNM860	Octadecabacter arcticus 238	other Roseobacter	5478249	6050	87	55.1	0.358375329	2.8579631	3123	1.937239833	179	0.029586777
GNM791	Loktanella cinnabarina LL-001	other Roseobacter	3896245	4185	88.8	66.7	0.364203984	2.787141625	3046	1.373933027	197	0.047072879
GNM1367	Loktanella hongkongensis UST950701	other Roseobacter	3185912	3094	90.8	68.4	0.362948546	2.783688997	2753	1.123864875	150	0.048480931
GNM1283	Wenxinia marina HY34	other Roseobacter	4180927	4028	89.1	70.5	0.354793895	2.776269804	3279	1.2284233	193	0.047914598
GNM855	Oceanicola granulosus HTCC2516	other Roseobacter	4053139	3702	90.7	70.4	0.350280026	2.777418076	3016	1.227453581	203	0.054835224
GNM786	Litoreibacter_arenae_DSM_19593	other Roseobacter	3682761	3599	91.2	60.3	0.33656193	2.835773457	3136	1.147640306	174	0.048346763
GNM833	Maritimibacter alkaliphilus HTCC2654	other Roseobacter	4536113	4427	90.5	64.1	0.342480202	2.818162468	3747	1.181478516	233	0.052631579
GNM858	Oceaniovalibus_guishaninsula_JLT2003	other Roseobacter	2897133	2889	93	67.4	0.366493907	2.782893396	2543	1.136059772	91	0.031498789
GNM875	Paracoccus_aminophilus_JCM_7686	other Roseobacter	4873118	4617	89.6	63.4	0.356281759	2.81257183	3332	1.385654262	277	0.059995668
GNM483	Paracoccus_sulfuroxidans_CGMCC_1.5364	other Roseobacter	4036530	3947	90.9	64.2	0.356439774	2.812951999	3198	1.234208881	205	0.051938181
GNM1419	Paracoccus_zeaxanthinifaciens_ATCC21588	other Roseobacter	3049695	2942	92.2	67.2	0.361996024	2.795449449	2531	1.162386409	162	0.055064582
GNM1066	Rhodobacter_capsulatus_SB_1003	NA	3871920	3632	90.3	66.6	0.350531916	2.787749125	3133	1.159272263		
